ablation,method,method_type,regime,qlike_var_mean,qlike_var_median,qlike_var_std,rmse_vol_mean,rmse_vol_median,rmse_vol_std,mae_vol_mean,mae_vol_median,mae_vol_std,underprediction_rate_mean,underprediction_rate_median,underprediction_rate_std,underprediction_loss_mean,underprediction_loss_median,underprediction_loss_std,avg_set_size_mean,avg_set_size_median,avg_set_size_std,miss_best_rate_mean,miss_best_rate_median,miss_best_rate_std,tail_underprediction_loss_mean,tail_underprediction_loss_median,tail_underprediction_loss_std,tail_qlike_var_mean,tail_qlike_var_median,tail_qlike_var_std
no_regime_similarity_scoring,regime_low_branch,blend_component,mid,0.1549295874286155,0.1502994879572057,0.031149894114705895,0.0025232044876647,0.00249790115116995,0.0007929081717627901,0.00186615721247445,0.00184659706738025,0.0005436074756640179,0.19009087403979252,0.1841328728786343,0.02660138542221875,0.004110558850894484,0.0039382089170743,0.0010604107702406897,,,,,,,,,,,,
no_regime_similarity_scoring,regime_overlay,overlay_policy,all,0.34066934188777903,0.3361028848566356,0.040602345151702135,0.0040907960767874495,0.004154595145855099,0.0010318502022681,0.0028651208127453164,0.00276943469521685,0.0007616028843694895,0.2776379802046636,0.27705083039758427,0.017151634292046296,0.019536899918109,0.018713904745784403,0.0025868052447178772,,,,,,,0.10376004910871078,0.09222211967294484,0.025552394012526944,0.8080167319417776,0.7236656164577897,0.23131234814744966
no_regime_similarity_scoring,regime_overlay,overlay_policy,high,0.37723522241230795,0.37398471495455166,0.06801483528869716,0.005399687313697383,0.00575698162459525,0.00140572923347444,0.0036270287614988336,0.0037008686484501,0.0010341583368725796,0.5953872201914425,0.5824699159918263,0.06213154771085488,0.050367071969606415,0.04667905446159225,0.008505266557456077,,,,,,,0.10376004910871078,0.09222211967294484,0.025552394012526944,0.8080167319417776,0.7236656164577897,0.23131234814744966
no_regime_similarity_scoring,regime_overlay,overlay_policy,low,0.4817104739947915,0.4851923560772544,0.07302554261402222,0.0032454315955086333,0.00298467020157305,0.0007135789623307544,0.0027890889357583336,0.0025710302374751,0.0006373525096804325,0.009150300521288584,0.0078496052062032,0.007567773911136271,4.3449511111112435e-05,1.9833305290450067e-05,5.7442766174949795e-05,,,,,,,,,,,,
no_regime_similarity_scoring,regime_overlay,overlay_policy,mid,0.182080734842061,0.17767855034746283,0.03534902322287353,0.002931466058968783,0.0028536150977066,0.0008880253847901092,0.0021185109244876666,0.00208817830355405,0.0006269226334929379,0.17154854728563632,0.16527883785237918,0.021399138088810155,0.0036646300884854333,0.0037201448406969503,0.0008705042339532236,,,,,,,,,,,,
no_regime_similarity_scoring,regime_set_calm,model_set,all,3234.3933029538634,0.34517046489871606,7921.787339519607,0.0036365067583896166,0.0036127244261145997,0.0009663755359507707,0.00253943701876505,0.002458334273205,0.0006812141360074509,0.3324945478946485,0.33241066935078,0.010419862542036272,0.025600366202591446,0.02580805489936345,0.0007375916350074855,1.447911424257675,1.4481630598892803,0.025917248494380905,0.7098641167589331,0.7194262707599396,0.03330233831735913,0.1343207694366438,0.1280051933753468,0.017463740746884178,1.0334758649095896,1.0228944167823124,0.16745037386217743
no_regime_similarity_scoring,regime_set_calm,model_set,high,8876.234120602123,0.46850422600380714,21741.163432094807,0.004936909188983783,0.00499696782451345,0.001331060930312498,0.0033297588758567334,0.00328848106497265,0.0009648403548669865,0.6986878754497067,0.6912615785336683,0.03810055754347246,0.06524158222268088,0.0641048474552655,0.003835151305653349,1.6616436017516933,1.6416117504659071,0.04447770790491891,0.6571271344286956,0.6617687179388654,0.01454797686673427,0.1343207694366438,0.1280051933753468,0.017463740746884178,1.0334758649095896,1.0228944167823124,0.16745037386217743
no_regime_similarity_scoring,regime_set_calm,model_set,low,0.42712044686539974,0.41489981625872907,0.07406417286786518,0.0028777698390204,0.00273868557659935,0.0006712754118494736,0.0024911523827831,0.0023645840424398002,0.000590243220688185,0.013523152288903618,0.01248929808196065,0.010137648119864522,7.647246477541071e-05,6.838969537264926e-05,6.936883537783288e-05,1.2445141093363357,1.2285861713106296,0.09096762491905608,0.8191088706781477,0.815336363528617,0.059417794352153976,,,,,,
no_regime_similarity_scoring,regime_set_calm,model_set,mid,0.1438632727939161,0.1365951425909137,0.02652993709384991,0.0023481265162472666,0.0022584575259105,0.0007064564052062436,0.0017395300337999,0.0016716311137191498,0.0004863678121949974,0.21835251126868468,0.21879209886429515,0.029829143019268024,0.0055147539584262,0.00567512078335825,0.0021501701387223638,1.3936385025580431,1.3797933080419122,0.029645302404856605,0.6712968314151904,0.688897216971909,0.05853472307044824,,,,,,
no_regime_similarity_scoring,regime_set_combo,model_set,all,0.3410587402610202,0.3380597958119707,0.040202731910654044,0.0040928505312939,0.0041735640979368,0.0010373338180139668,0.0028667954844830167,0.0027847707201801497,0.0007645022938130385,0.2785606441872169,0.28183190739808756,0.015805442146993035,0.019719208314358815,0.018858617194765,0.0022994627075043307,1.447911424257675,1.4481630598892803,0.025917248494380905,0.7098641167589331,0.7194262707599396,0.03330233831735913,0.10519686843923541,0.0942369317575732,0.024560806172666625,0.8158788487227603,0.7352112219464604,0.2252260584532605
no_regime_similarity_scoring,regime_set_combo,model_set,high,0.3786589411994039,0.3725779405854337,0.06411937779364442,0.005410487567698917,0.00578642552376105,0.0014092413779681556,0.0036342855785270836,0.00370374951271975,0.0010417011794917766,0.5958426982509568,0.5893703171119352,0.061531395813082236,0.05075159079186586,0.04674530268081625,0.008014943669328365,1.6616436017516933,1.6416117504659071,0.04447770790491891,0.6571271344286956,0.6617687179388654,0.01454797686673427,0.10519686843923541,0.0942369317575732,0.024560806172666625,0.8158788487227603,0.7352112219464604,0.2252260584532605
no_regime_similarity_scoring,regime_set_combo,model_set,low,0.4809184468988095,0.4778235107778928,0.06861968801509756,0.0032423537945329667,0.00298706290213235,0.0007130468776264777,0.00278717508030085,0.00259388014451585,0.0006279006489462385,0.0106306493823325,0.0089145379966009,0.008065848840298243,5.756880581441282e-05,3.8418335036071054e-05,6.415424997288519e-05,1.2445141093363357,1.2285861713106296,0.09096762491905608,0.8191088706781477,0.815336363528617,0.059417794352153976,,,,,,
no_regime_similarity_scoring,regime_set_combo,model_set,mid,0.18222349836019988,0.1779419844750459,0.03662626648705395,0.0029214119266487166,0.0028325037318192,0.0008986585829406979,0.0021164806846175332,0.00207684752119285,0.0006312850351084785,0.17257070040026298,0.1648524502998257,0.019728142583326277,0.003770060236549333,0.00406771881153245,0.0010699126108985825,1.3936385025580431,1.3797933080419122,0.029645302404856605,0.6712968314151904,0.688897216971909,0.05853472307044824,,,,,,
no_regime_similarity_scoring,regime_set_stress,model_set,all,0.359878893697144,0.36213393504339014,0.041232589391199045,0.004249837567059866,0.00428825476279285,0.0010396663579652853,0.0030161577819975,0.00291891993060115,0.0007766313610531427,0.2663982553262875,0.2682435832913941,0.021497794251058595,0.018841249977400786,0.0176597262479362,0.0026958772602877477,1.447911424257675,1.4481630598892803,0.025917248494380905,0.7098641167589331,0.7194262707599396,0.03330233831735913,0.10262369382992764,0.0906618140428619,0.024997343832264547,0.7996531550342612,0.712664212583711,0.2319012170189808
no_regime_similarity_scoring,regime_set_stress,model_set,high,0.374787683928055,0.3620361211752585,0.06565954316196676,0.005458462812661716,0.00580600434764535,0.0014036725610558692,0.0036880049848752165,0.0037221992000496997,0.0010447853942456506,0.5753585450120253,0.5549421024748353,0.06637577582790562,0.04871630848220507,0.0440095095038978,0.008847567288009337,1.6616436017516933,1.6416117504659071,0.04447770790491891,0.6571271344286956,0.6617687179388654,0.01454797686673427,0.10262369382992764,0.0906618140428619,0.024997343832264547,0.7996531550342612,0.712664212583711,0.2319012170189808
no_regime_similarity_scoring,regime_set_stress,model_set,low,0.5237354839061626,0.5249531181426035,0.07954820557978966,0.0035264651636036665,0.00329525697173045,0.0007111608382567744,0.0030067239840514,0.00282682227016495,0.0006372437737653224,0.010038583070905617,0.00713833906232025,0.008037384415156855,5.5876271020109355e-05,3.334073065316065e-05,6.509559847264033e-05,1.2445141093363357,1.2285861713106296,0.09096762491905608,0.8191088706781477,0.815336363528617,0.059417794352153976,,,,,,
no_regime_similarity_scoring,regime_set_stress,model_set,mid,0.20476999886617975,0.19533751129593008,0.04255824816217694,0.0031798621709330666,0.0031255658266086,0.0009461001585035816,0.00230826621395025,0.0023353108611342,0.000660892892823001,0.15940669141380207,0.15934979007759434,0.019561998188668918,0.003384973245661383,0.0033914287297260497,0.0007937692208942352,1.3936385025580431,1.3797933080419122,0.029645302404856605,0.6712968314151904,0.688897216971909,0.05853472307044824,,,,,,
no_regime_similarity_scoring,rolling_best,baseline,all,2896.2791907665214,0.36532610059027837,7093.548253854848,0.0036326784685404667,0.0035305298278026,0.0009645652662130437,0.0025569531675693332,0.0024063336077289497,0.000687598176050638,0.31267838365630163,0.31252816584046866,0.013220106621311376,0.023632574511317866,0.0244573089464414,0.002391467455971449,,,,,,,0.124928866404336,0.1144177633264762,0.022094428693030077,0.9632535373218879,0.9026037929569006,0.1756669291152567
no_regime_similarity_scoring,rolling_best,baseline,high,8684.326794690274,0.48342343031604107,21271.051850750937,0.004950378725799933,0.00501188355856255,0.0013593183765744804,0.0033611551446843333,0.00335571783496,0.0009930206546104581,0.6759009009009009,0.6675675675675676,0.05798173981886623,0.06281018985905494,0.06091812251164365,0.007830508935643974,,,,,,,0.124928866404336,0.1144177633264762,0.022094428693030077,0.9632535373218879,0.9026037929569006,0.1756669291152567
no_regime_similarity_scoring,rolling_best,baseline,low,0.43076153863231853,0.45157335570701024,0.07009760329808533,0.0029024442901616834,0.0026735459958905,0.0006540098847052164,0.0024414983932348664,0.0022248362060004,0.0005548884002240705,0.03648648648648643,0.03310810810810805,0.02822998524977188,0.0008877459129730934,0.00026031607766745,0.0013039404912666937,,,,,,,,,,,,
no_regime_similarity_scoring,rolling_best,baseline,mid,0.16635006972100214,0.16242243725592853,0.04618503875618154,0.0025479830332803834,0.00254905333703305,0.0008391640001252111,0.0018672739658675667,0.0018605951024291,0.0005735018856529031,0.2255299954894001,0.2219215155615697,0.031857738431496065,0.007177551243996733,0.0067764867030823996,0.0027617619069064793,,,,,,,,,,,,
no_regime_similarity_scoring,static_best,baseline,all,51434.51288769367,0.4423820111118867,125987.31216988468,0.004151710130687317,0.0040069193829553,0.001624031154941818,0.0028368419901521665,0.0022851643124572,0.0013695242665394754,0.34859922831739637,0.33895319577252137,0.11782338773097205,0.029685582985170236,0.0261622389927392,0.014834303857911738,,,,,,,0.15133648712404613,0.14884754611572987,0.06472419367567767,232594.46741127982,1.7840962049988354,569734.151098699
no_regime_similarity_scoring,static_best,baseline,high,123634.63130402884,0.669423033886748,302840.27665042656,0.0056354097058758336,0.0059174347778119495,0.0018728535862919029,0.0037425387545113836,0.003932174968829,0.0013225436613595733,0.6951017677240866,0.7411581569115815,0.1704207485107927,0.07344854201035224,0.0675357025408754,0.03367380541425647,,,,,,,0.15133648712404613,0.14884754611572987,0.06472419367567767,232594.46741127982,1.7840962049988354,569734.151098699
no_regime_similarity_scoring,static_best,baseline,low,0.4306111752434166,0.37577188522903554,0.2152344451835981,0.0030168670151342167,0.00225088335286545,0.0017537464814200328,0.0026387885141386665,0.0019915411200224498,0.0016538509755927551,0.02762777922870707,0.022272320009248753,0.030089860656117587,0.00027380130871705474,0.00012711089868528458,0.0004627002269836318,,,,,,,,,,,,
no_regime_similarity_scoring,static_best,baseline,mid,19342.4534129182,0.1441502100471191,47378.707849238024,0.0026421940075095664,0.0018045001852893,0.0018322179642083405,0.0020390957861223164,0.001391304576143,0.001489337771927426,0.25705190792015653,0.20742469024035215,0.15856663052321038,0.008525470122687033,0.0070881005104545,0.007718639556930108,,,,,,,,,,,,
no_regime_similarity_scoring,vix_switch,naive_baseline,all,0.4013006504295464,0.4012974417076836,0.06308408513659998,0.004583613559845567,0.00493408213445865,0.0009582462454192328,0.0029890663928077836,0.0030206060214497503,0.0005572815358526953,0.36472885684242146,0.3693105002253267,0.025224787470243336,0.0296207818183698,0.0296525019856719,0.003375849490330327,,,,,,,0.09732050998877916,0.09467308878149625,0.026240553644881766,0.997847549266039,0.888768807051776,0.25987318192220094
no_regime_similarity_scoring,vix_switch,naive_baseline,high,0.6142539753777165,0.6221390512754874,0.10813010063584858,0.0064050833997796,0.0071238192451767,0.0015858164754659475,0.0046321885151719335,0.00493465563937555,0.0010786970973540142,0.5499999999999999,0.5371621621621621,0.05189611469304567,0.06737909199861698,0.0650296301120266,0.009645305714097918,,,,,,,0.09732050998877916,0.09467308878149625,0.026240553644881766,0.997847549266039,0.888768807051776,0.25987318192220094
no_regime_similarity_scoring,vix_switch,naive_baseline,low,0.31941417087735663,0.30903638830749974,0.067614725167749,0.0027475611527692837,0.0029248115940649,0.00040780781986550144,0.00188611700318345,0.0019335890392396002,0.0002797694401986249,0.11148648648648644,0.1195945945945946,0.04293598612247908,0.0021877077134032,0.0017969756025257998,0.001833783776712732,,,,,,,,,,,,
no_regime_similarity_scoring,vix_switch,naive_baseline,mid,0.2700564480032602,0.28633946518263803,0.03986468177078155,0.0037431290496163835,0.0038416399303556,0.0007705881115161123,0.0024481627091440836,0.0024646294003,0.0004902884607036462,0.4327920613441587,0.43369418132611637,0.0294162361897399,0.019281573840416368,0.01746761698424685,0.005657266749629306,,,,,,,,,,,,
no_regime_similarity_scoring,xgb,single_model,all,0.5819521782759617,0.5430869247429857,0.12626294323736426,0.004384576906450883,0.00443385315375285,0.0011147033372118373,0.0030128078343332333,0.0031205077164688,0.0007678278754572503,0.29953432477091785,0.3093735917079765,0.02155172862572016,0.03066157769917442,0.03058721501045435,0.0020668593044124244,,,,,,,0.2119948501974319,0.22345459050851268,0.02237863055954141,2.7289901502815432,2.53297989545125,1.032374763559954
